state,region
Connecticut,New England
Maine,New England
Massachusetts,New England
New Hampshire,New England
Rhode Island,New England
Vermont,New England
Delaware,Middle Atlantic
Maryland,Middle Atlantic
New Jersey,Middle Atlantic
New York,Middle Atlantic
Pennsylvania,Middle Atlantic
Alabama,South
Arkansas,South
Florida,South
Georgia,South
Kentucky,South
Louisiana,South
Mississippi,South
Missouri,South
North Carolina,South
South Carolina,South
Tennessee,South
Virginia,South
West Virginia,South
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Michigan,Midwest
Minnesota,Midwest
Nebraska,Midwest
North Dakota,Midwest
Ohio,Midwest
South Dakota,Midwest
Wisconsin,Midwest
Arizona,Southwest
New Mexico,Southwest
Oklahoma,Southwest
Texas,Southwest
Alaska,West
California,West
Colorado,West
Hawaii,West
Idaho,West
Montana,West
Nevada,West
Oregon,West
Utah,West
Washington,West
Wyoming,West
